"styles_ndsLink__GUaai href","styles_styledBodyMdText__lJVEV","styles_ndsTruncate__0rtO0","styles_ndsLink__GUaai","styles_ratingsAndReviews__B6_gt href","h-text-bold 2","h-text-greenDark","h-text-grayDark","styles_btn__1hjpW","h-text-grayDark 2","styles_styledBodyMdText__lJVEV 2","styles_styledBodySmText__v0z_0"
"https://www.target.com/p/alfred-dunner-women-s-classic-pull-on-elastic-waist-denim-jeans-denim-18/-/A-1001593176#lnk=sametab","$29.99","Alfred Dunner, Women's Classic Pull-On Elastic Waist Denim Jeans, Denim, 18","Alfred Dunner","[object Object]","Shipping","arrives Thu, Apr 23","Ships free -","Add to cart","reg","$49.50","Sale"
"https://www.target.com/p/judy-blue-mid-rise-flare-jeans-multiple-inseam-options/-/A-1010863026?preselect=1010863066#lnk=sametab","$82.96","Judy Blue Mid Rise Flare Jeans (Multiple Inseam Options)","Judy Blue","","Shipping","arrives Thu, Apr 23","Shipping dates may vary","Add to cart","reg","$85.00","Sale"
"https://www.target.com/p/blueming-womens-wide-leg-jeans-elastic-waist-drawstring-baggy-jeans-boyfriend-jeans-tie-front-denim-pants/-/A-1007338485?preselect=1007338486#lnk=sametab","$43.99 - $53.99","BLUEMING Womens Wide Leg Jeans Elastic Waist Drawstring Baggy Jeans Boyfriend Jeans Tie Front Denim Pants","BLUEMING","","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","reg","$54.99 - $62.99","Sale"
"https://www.target.com/p/just-love-denim-wash-ripped-jeggings-for-women/-/A-1002610087?preselect=1002610092#lnk=sametab","$24.99","Just Love Women’s Ripped Denim Jeggings – Stretch Pull-On Jean Leggings, Skinny Fit Jegging Pants","Just Love","","Shipping","Thu, Apr 23 - Fri, Apr 24","Shipping dates may vary","Add to cart","reg","$39.99","Sale"
"https://www.target.com/p/anna-kaci-women-s-high-waist-flare-jeans-with-raw-hemline-and-clean-minimalist-front/-/A-1003925454?preselect=91216462#lnk=sametab","$46.99 - $57.99","Anna-Kaci Women's High Waist Flare Jeans with Raw Hemline and Clean Minimalist Front","Anna-Kaci","","Shipping","arrives Sat, Apr 18","Shipping dates may vary","Add to cart","reg","$74.00 - $92.00","Sale"
"https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498445#lnk=sametab","$29.99","Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Dark Denim , 12P","Alfred Dunner","","Shipping","arrives Thu, Apr 23","Ships free -","Add to cart","reg","$54.00","Sale"
"https://www.target.com/p/women-high-waisted-wide-leg-jeans-with-floral-embroidery-vintage-washed-distressed-denim-pants-blue-l/-/A-1009929241?preselect=1009929241#lnk=sametab","$43.99","Women High Waisted Wide Leg Jeans with Floral Embroidery Vintage Washed Distressed Denim Pants, Blue, L","YesFashion","","Shipping","arrives Sat, Apr 18","Ships free -","Add to cart","reg","$59.99","Sale"
"https://www.target.com/p/clearlove-asymmetric-denim-shorts-v-shape-ripped-denim-shorts-jean-shorts-super-frayed-denim-hot-shorts/-/A-1009112318?preselect=1009112321#lnk=sametab","$34.99 - $35.99","Clearlove Asymmetric Denim Shorts V Shape Ripped Denim Shorts Jean Shorts Super Frayed Denim Hot Shorts","Clearlove","","Shipping","arrives Sat, Apr 18","Shipping dates may vary","Add to cart","reg","$50.99 - $58.99","Sale"
"https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-jeans/-/A-1002525440?preselect=1002498260#lnk=sametab","$29.99","Alfred Dunner Petite Women's Super Stretch Comfort Jeans","Alfred Dunner","[object Object]","Shipping","arrives Thu, Apr 23","Shipping dates may vary","Add to cart","reg","$54.00","Sale"
"https://www.target.com/p/coolmee-women-slim-skinny-fit-ripped-jeans-stretch-distressed-destroyed-high-waisted-crossover-denim-pants/-/A-1005843881?preselect=1005843889#lnk=sametab","$39.99 - $41.99","Coolmee Women Slim Skinny Fit Ripped Jeans Stretch Distressed Destroyed High Waisted Crossover Denim Pants","Coolmee","[object Object]","Shipping","arrives Sat, Apr 18","Shipping dates may vary","Add to cart","reg","$79.99","Sale"
"https://www.target.com/p/anna-kaci-women-s-high-waist-flare-jeans-with-clean-front-design-and-raw-frayed-hem-detail/-/A-1003925455?preselect=91216437#lnk=sametab","$43.80 - $57.99","Anna-Kaci Women's High Waist Flare Jeans with Clean Front Design and Raw Frayed Hem Detail","Anna-Kaci","","Shipping","arrives Sat, Apr 18","Shipping dates may vary","Add to cart","reg","$73.00 - $92.00","Sale"
"https://www.target.com/p/lucky-brand-women-s-mid-rise-ava-super-skinny-destruct-jean/-/A-86415398?preselect=86415422#lnk=sametab","$35.00","Lucky Brand Women's Mid Rise Ava Super Skinny Destruct Jean","Lucky Brand","[object Object]","Shipping","arrives Wed, Apr 22","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/blueming-women-low-rise-baggy-jeans-loose-boyfriend-fit-straight-wide-leg-jeans-long-denim-pants-with-pockets/-/A-1006625388?preselect=1006625392#lnk=sametab","$41.99","BLUEMING Women Low Rise Baggy Jeans Loose Boyfriend Fit Straight Wide Leg Jeans Long Denim Pants with Pockets","BLUEMING","[object Object]","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","reg","$53.99","Sale"
"https://www.target.com/p/coolmee-women-s-ripped-high-waisted-d-jeans-wide-leg-destroyed-denim-pants/-/A-1006563357?preselect=1006563358#lnk=sametab","$32.19 - $33.59","Coolmee Women's Ripped High Waisted d Jeans Wide Leg Destroyed Denim Pants","Coolmee","[object Object]","Shipping","arrives Sat, Apr 18","Shipping dates may vary","Add to cart","reg","$69.99","Sale"
"https://www.target.com/p/lands-end-women-s-recover-high-rise-wide-leg-blue-jeans/-/A-92889970?preselect=1001639550#lnk=sametab","$69.96","Lands' End Women's Recover High Rise Wide Leg Blue Jeans","Lands' End","[object Object]","Shipping","arrives Thu, Apr 23","Shipping dates may vary","Add to cart","reg","$99.95","Sale"
"https://www.target.com/p/just-love-women-s-denim-wash-leggings-stretchy-and-comfortable-skinny-pants/-/A-1002610056?preselect=1002610126#lnk=sametab","$14.99","Just Love Women's Denim Wash Leggings - Stretchy and Comfortable Skinny Pants","Just Love","[object Object]","Shipping","arrives Fri, Apr 24","Shipping dates may vary","Add to cart","reg","$19.99","Sale"
"https://www.target.com/p/coolmee-women-s-high-waisted-wide-leg-jeans-stretchy-distressed-denim-pants/-/A-1005700654?preselect=1005700667#lnk=sametab","$44.09 - $50.99","Coolmee Women's High Waisted Wide Leg Jeans Stretchy Distressed Denim Pants","Coolmee","","Shipping","arrives Sat, Apr 18","Shipping dates may vary","Add to cart","reg","$69.99","Sale"
"https://www.target.com/p/women-s-high-waist-wide-leg-jeans-straight-leg-stretchy-denim-pants-trendy-fall-casual-with-rolled-cuffed-hem/-/A-1005984262?preselect=1005984272#lnk=sametab","See price in cart","Women's High Waist Wide Leg Jeans Straight Leg Stretchy Denim Pants Trendy Fall Casual With Rolled Cuffed Hem","YesFashion","[object Object]","Shipping","arrives Sat, Apr 18","Shipping dates may vary","Add to cart","","",""
"https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498361#lnk=sametab","$29.99","Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Dark Denim , 14P","Alfred Dunner","[object Object]","Shipping","arrives Thu, Apr 23","Ships free -","Add to cart","reg","$54.00","Sale"
"https://www.target.com/p/kancan-essentials-alma-women-s-mid-rise-wide-leg-trouser-pants/-/A-1009360938?preselect=1009360946#lnk=sametab","$74.62","Kancan Essentials Alma Women's Mid Rise Wide Leg Trouser Pants","KanCan Essentials","","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","reg","$99.50","Sale"
"https://www.target.com/p/just-love-denim-wash-capri-jeggings-for-women-6855-medden-xl/-/A-1002610142?preselect=1007491044#lnk=sametab","$24.99","Just Love Denim Wash Capri Jeggings for Women","Just Love","[object Object]","Shipping","arrives Fri, Apr 24","Shipping dates may vary","Add to cart","","","Select items on sale"
"https://www.target.com/p/clearlove-womens-boxy-denim-shorts-2-inseam-high-rise-denim-shorts-a-line-cuffed-jean-shorts-with-pockets-summer-hot-shorts/-/A-1009102515?preselect=1009102516#lnk=sametab","$34.99","Clearlove Womens Boxy Denim Shorts 2"" Inseam High Rise Denim Shorts A Line Cuffed Jean Shorts with Pockets Summer Hot Shorts","Clearlove","","Shipping","arrives Sat, Apr 18","Shipping dates may vary","Add to cart","reg","$58.99","Sale"
"https://www.target.com/p/wallflower-women-s-sassy-skinny-high-rise-insta-soft-juniors-jeans-standard-and-plus/-/A-84232597?preselect=84199179#lnk=sametab","$39.99 - $46.99","WallFlower Women's Sassy Skinny High-Rise Insta Soft Juniors Jeans (Standard and Plus)","WallFlower","[object Object]","Shipping","arrives Mon, Apr 20","Shipping dates may vary","Add to cart","","",""
