retailer,product_id,product_name,brand,color,sale_price,regular_price,on_sale,material,stretch,rise,fit,url,description
Kohls,6679547,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants,LC Lauren Conrad,Maya Mauve,39.99,44.99,true,"Carson wash: cotton, lyocell, spandex; Ivory tusk: cotton, polyester, lycra",Yes,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-6679547/,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants
Kohls,6679547,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants,LC Lauren Conrad,Stone White,39.99,44.99,true,"Carson wash: cotton, lyocell, spandex; Ivory tusk: cotton, polyester, lycra",Yes,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-6679547/,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants
Kohls,4991601,Women's Nine West Straight Jeans,Nine West,Rinse Wash Blast,34.99,39.99,true,"Cotton, polyester, rayon, spandex",Yes,,Straight,https://www.kohls.com/product/prd-4991601/,Women's Nine West Straight Jeans
Kohls,4991601,Women's Nine West Straight Jeans,Nine West,Black,34.99,39.99,true,"Cotton, polyester, rayon, spandex",Yes,,Straight,https://www.kohls.com/product/prd-4991601/,Women's Nine West Straight Jeans
Kohls,4991601,Women's Nine West Straight Jeans,Nine West,Medium Wash Blast,34.99,39.99,true,"Cotton, polyester, rayon, spandex",Yes,,Straight,https://www.kohls.com/product/prd-4991601/,Women's Nine West Straight Jeans
Kohls,4991601,Women's Nine West Straight Jeans,Nine West,White Knight,34.99,39.99,true,"Cotton, polyester, rayon, spandex",Yes,,Straight,https://www.kohls.com/product/prd-4991601/,Women's Nine West Straight Jeans
Kohls,4991601,Women's Nine West Straight Jeans,Nine West,Alana Wash,34.99,39.99,true,"Cotton, polyester, rayon, spandex",Yes,,Straight,https://www.kohls.com/product/prd-4991601/,Women's Nine West Straight Jeans
Kohls,4991601,Women's Nine West Straight Jeans,Nine West,Light Wash Blast,34.99,39.99,true,"Cotton, polyester, rayon, spandex",Yes,,Straight,https://www.kohls.com/product/prd-4991601/,Women's Nine West Straight Jeans
Kohls,4991601,Women's Nine West Straight Jeans,Nine West,Rinse,34.99,39.99,true,"Cotton, polyester, rayon, spandex",Yes,,Straight,https://www.kohls.com/product/prd-4991601/,Women's Nine West Straight Jeans
Kohls,4991601,Women's Nine West Straight Jeans,Nine West,Medium,34.99,39.99,true,"Cotton, polyester, rayon, spandex",Yes,,Straight,https://www.kohls.com/product/prd-4991601/,Women's Nine West Straight Jeans
Kohls,7928809,Women's Nine West High-Rise Wide Leg Pants,Nine West,Medium Wash,,49.99,,Stretch denim construction,Yes,High rise sits below the natural waistline,Wide Leg,https://www.kohls.com/product/prd-7928809/,Women's Nine West High-Rise Wide Leg Pants
Kohls,7928809,Women's Nine West High-Rise Wide Leg Pants,Nine West,Clean Rinse Wash,,49.99,,Stretch denim construction,Yes,High rise sits below the natural waistline,Wide Leg,https://www.kohls.com/product/prd-7928809/,Women's Nine West High-Rise Wide Leg Pants
Kohls,7928809,Women's Nine West High-Rise Wide Leg Pants,Nine West,White Knight,,49.99,,Stretch denim construction,Yes,High rise sits below the natural waistline,Wide Leg,https://www.kohls.com/product/prd-7928809/,Women's Nine West High-Rise Wide Leg Pants
Kohls,7928809,Women's Nine West High-Rise Wide Leg Pants,Nine West,Ganet Olive,,49.99,,Stretch denim construction,Yes,High rise sits below the natural waistline,Wide Leg,https://www.kohls.com/product/prd-7928809/,Women's Nine West High-Rise Wide Leg Pants
Kohls,7928809,Women's Nine West High-Rise Wide Leg Pants,Nine West,Dark Rinse Blast,,49.99,,Stretch denim construction,Yes,High rise sits below the natural waistline,Wide Leg,https://www.kohls.com/product/prd-7928809/,Women's Nine West High-Rise Wide Leg Pants
Kohls,5033495,Women's Simply Vera Vera Wang Stretch Bootcut Jeans,Simply Vera Vera Wang,Camila Dark Wash,39.99,44.99,true,Stretch denim construction,Yes,,Bootcut,https://www.kohls.com/product/prd-5033495/,Women's Simply Vera Vera Wang Stretch Bootcut Jeans
Kohls,5033495,Women's Simply Vera Vera Wang Stretch Bootcut Jeans,Simply Vera Vera Wang,Shye Light Wash,39.99,44.99,true,Stretch denim construction,Yes,,Bootcut,https://www.kohls.com/product/prd-5033495/,Women's Simply Vera Vera Wang Stretch Bootcut Jeans
Kohls,5033495,Women's Simply Vera Vera Wang Stretch Bootcut Jeans,Simply Vera Vera Wang,Alma Black Wash,39.99,44.99,true,Stretch denim construction,Yes,,Bootcut,https://www.kohls.com/product/prd-5033495/,Women's Simply Vera Vera Wang Stretch Bootcut Jeans
Kohls,7863206,Women's Croft & Barrow® Classic Pull-On Straight Leg Jeans,Croft & Barrow,Rinse Wash,29.99,34.99,true,"Body: cotton, rayon, spandex twill; Body: cotton, spandex denim",Yes,Super high rise sits on the natural waistline,Straight,https://www.kohls.com/product/prd-7863206/,Women's Croft & Barrow® Classic Pull-On Straight Leg Jeans
Kohls,7863206,Women's Croft & Barrow® Classic Pull-On Straight Leg Jeans,Croft & Barrow,Medium Wash,29.99,34.99,true,"Body: cotton, rayon, spandex twill; Body: cotton, spandex denim",Yes,Super high rise sits on the natural waistline,Straight,https://www.kohls.com/product/prd-7863206/,Women's Croft & Barrow® Classic Pull-On Straight Leg Jeans
Kohls,7863206,Women's Croft & Barrow® Classic Pull-On Straight Leg Jeans,Croft & Barrow,Dark Wash,29.99,34.99,true,"Body: cotton, rayon, spandex twill; Body: cotton, spandex denim",Yes,Super high rise sits on the natural waistline,Straight,https://www.kohls.com/product/prd-7863206/,Women's Croft & Barrow® Classic Pull-On Straight Leg Jeans
Kohls,7863206,Women's Croft & Barrow® Classic Pull-On Straight Leg Jeans,Croft & Barrow,Graceful Beige,29.99,34.99,true,"Body: cotton, rayon, spandex twill; Body: cotton, spandex denim",Yes,Super high rise sits on the natural waistline,Straight,https://www.kohls.com/product/prd-7863206/,Women's Croft & Barrow® Classic Pull-On Straight Leg Jeans
Kohls,7863206,Women's Croft & Barrow® Classic Pull-On Straight Leg Jeans,Croft & Barrow,Mineral Black,29.99,34.99,true,"Body: cotton, rayon, spandex twill; Body: cotton, spandex denim",Yes,Super high rise sits on the natural waistline,Straight,https://www.kohls.com/product/prd-7863206/,Women's Croft & Barrow® Classic Pull-On Straight Leg Jeans
